h,Tiểu vùng,Chi nhánh,Đơn vị trực thuộc,QT. Tỉnh/ Thành,QT. Quận/ Huyện,Địa chỉ
Khu vực Hà Nội,Hà Nội 2,CN. Hà Nội,Phòng giao dịch Nam Trung Yên,Hà Nội,Quận Cầu Giấy,"Ô số 10 ( Khu tái định cư Tại chỗ) đường Trung Yên 1, KĐTM Trung Yên - Phường Yên Hòa - Quận Cầu Giấy - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hòa Lạc,Trụ sở,Hà Nội,Huyện Thạch Thất,"Tầng  1 Tòa nhà Công ty TNHH MTV Phát triển Khu CNC Hòa Lạc, Khu Công nghệ cao Hòa Lạc, Km29, Đại lộ Thăng Long - Xã Thạch Hòa - Huyện Thạch Thất - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hoài Đức,Trụ sở,Hà Nội,Huyện Hoài Đức,"Lô A38 NV 16 ô số 11 và ô số 12, khu đô thị mới hai bên đường Lê Trọng Tấn - Xã An Khánh - Huyện Hoài Đức - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hoàng Mai,Trụ sở,Hà Nội,Quận Hoàng Mai,"Tầng 1 2 ô DV-02, DV-04, DV-12, DV-14 khu chung cư @ Home thuộc dự án khu nhà ở xã hội tại ô đất C11-ODK4 - Phường Yên Sở - Quận Hoàng Mai - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hoàng Quốc Việt,Trụ sở,Hà Nội,Quận Cầu Giấy,Số 126 đường Hoàng Quốc Việt - Phường Nghĩa Tân - Quận Cầu Giấy - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Hoàng Quốc Việt,Phòng giao dịch Nghĩa Tân,Hà Nội,Quận Cầu Giấy,"A2 Đơn nguyên 2, đường Nguyễn Khánh Toàn - Phường Quan Hoa - Quận Cầu Giấy - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Hoàng Quốc Việt,Phòng giao dịch Nam Thăng Long,Hà Nội,Quận Bắc Từ Liêm,Một phần tầng 1 tòa nhà A2 Chung cư Green Star - KĐT thành phố Giao lưu - số 232 đường Phạm Văn Đồng - Phường Cổ Nhuế 1 - Quận Bắc Từ Liêm - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Lê Trọng tấn,Trụ sở,Hà Nội,Quận Thanh Xuân,Số 164 Lê Trọng Tấn - Phường Khương Mai - Quận Thanh Xuân - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Mỹ Đình,Trụ sở,Hà Nội,Quận Nam Từ Liêm,"Tầng 1, tầng 2 nhà B, Tòa nhà HH4 SongDa TwinTower, đường Phạm Hùng - Phường Mỹ Đình 1 - Quận Nam Từ Liêm - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Mỹ Đình,Phòng giao dịch Mỹ Đình I,Hà Nội,Quận Nam Từ Liêm,Kios số 03 – Lô đất 1.A.IV KĐTM Mỹ Đình 1 - Phường Cầu Diễn - Quận Nam Từ Liêm - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Nhân Chính,Trụ sở,Hà Nội,Quận Thanh Xuân,"Tầng 1 tòa nhà Thăng Long, Số 98 Ngụy Như Kon Tum - Phường Nhân Chính - Quận Thanh Xuân - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Sơn Tây,Trụ sở,Hà Nội,Thị xã Sơn Tây,Số 135 Chùa Thông - Phường Sơn Lộc - Thị Xã Sơn Tây - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Sơn Tây,Phòng giao dịch Lê Lợi,Hà Nội,Thị xã Sơn Tây,Một phần diện tich tầng 1 tòa nhà số 6 Trưng Vương - Phường Lê Lợi - Thị Xã Sơn Tây - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Sơn Tây,Phòng giao dịch Ba Vì,Hà Nội,Huyện Ba Vì,"Thửa đất số 253, tờ bản đồ số 04, thôn Vĩnh Phệ - Xã Chu Minh - Huyện Ba Vì - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Tây Hà Nội,Trụ sở,Hà Nội,Quận Hà Đông,"Tầng 1 tòa nhà Nam Cường, KM4 đường Lê Văn Lương kéo dài, KĐTM Dương Nội - Phường Dương Nội - Quận Hà Đông - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Tây Hồ,Trụ sở,Hà Nội,Quận Tây Hồ,"Tầng 1, tầng 2, tầng 3, tầng 4 Số 28 đường Xuân La - Phường Xuân La - Quận Tây Hồ - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Tây Hồ,Phòng giao dịch Xuân Diệu,Hà Nội,Quận Tây Hồ,Tầng 1 và một phần diện tích tầng 2 tòa nhà số 114 Xuân Diệu - Phường Tứ Liên - Quận Tây Hồ - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Tây Hồ,Phòng giao dịch Lạc Long Quân,Hà Nội,Quận Tây Hồ,"Tầng 1, 2 Lô đất số 06 ô D9B, khu đấu giá quyền sử dụng đất - Phường Xuân La - Quận Tây Hồ - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Thăng Long,Trụ sở,Hà Nội,Quận Đống Đa,Số 34 Láng Hạ - Phường Láng Hạ - Quận Đống Đa - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Thành Công,Trụ sở,Hà Nội,Quận Đống Đa,"Ô số 8 tầng 1, ô số 3 tầng 8 Tòa nhà Văn phòng Sông Hồng, số 165 đường Thái Hà - Phường Láng Hạ - Quận Đống Đa - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Tràng An,Trụ sở,Hà Nội,Quận Đống đa,54A đường Nguyễn Chí Thanh - Phường Láng Thượng - Quận Đống đa - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Từ Liêm,Trụ sở,Hà Nội,Quận Nam Từ Liêm,Số 8 Lê Đức Thọ - Phường Mỹ Đình 2 - Quận Nam Từ Liêm - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Văn Phú,Trụ sở,Hà Nội,Quận Hà Đông,"Một phần tầng 1 tòa nhà CT9, khu đô thị mới Văn Phú - Phường Phú La - Quận Hà Đông - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Võ Chí Công,Trụ sở,Hà Nội,Quận Bắc Từ Liêm,Một phần diện tích tầng 1 tòa nhà N01-T4 Khu Đoàn ngoại giao - Phường Xuân Tảo - Quận Bắc Từ Liêm - Hà Nội
Khu vực Hà Nội,Hà Nội 2,CN. Xuân Mai,Trụ sở,Hà Nội,Huyện Chương Mỹ,"Số 51, tổ 6, khu Xuân Hà - Thị Trấn Xuân Mai - Huyện Chương Mỹ - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,CN. Xuân Thủy,Trụ sở,Hà Nội,Quận Cầu Giấy,"Nhà số 3, Lô A, Khu D6, Đường Nguyễn Phong Sắc kéo dài, Khu đô thị mới Cầu Giấy - Phường Dịch Vọng - Quận Cầu Giấy - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,Sở giao dịch,Trụ sở,Hà Nội,Quận Cầu Giấy,"Một phần tầng 1, tầng 2 tòa nhà số 18 Lê Văn Lương - Phường Trung Hòa - Quận Cầu Giấy - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,Sở giao dịch 3,Trụ sở,Hà Nội,Quận Đống Đa,"Tầng 2, Số 21 Cát Linh - Phường Cát Linh - Quận Đống Đa - Hà Nội"
Khu vực Hà Nội,Hà Nội 2,Sở giao dịch 3,Phòng giao dịch Nguyễn Du,Hà Nội,Quận Hai Bà Trưng,"Một phần tầng 1, tầng 2 tòa nhà số 68 phố Nguyễn Du - Phường Nguyễn Du - Quận Hai Bà Trưng - Hà Nội"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Bắc Hải Phòng,Trụ sở,Hải Phòng,Quận Hồng Bàng,"Số 5 đường Trần Hưng Đạo, Phường Hoàng Văn Thụ, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Bắc Hải Phòng,Phòng giao dịch Thủy Nguyên,Hải Phòng,Huyện Thủy Nguyên,"TTTM Bắc Mật, Số 9 Bạch Đằng, Thị trấn Núi Đèo, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Bắc Hải Phòng,Phòng giao dịch Thượng Lý,Hải Phòng,Quận Hồng Bàng,"Nhà số BH01-51, Khu đô thị xi măng Hải Phòng (Khu đô thị Vinhome Imperia Hải Phòng), đường Bạch Đằng, Phường Thượng Lý, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Bắc Hải Phòng,Phòng giao dịch Quán Toan,Hải Phòng,Quận Hồng Bàng,"Số 212 đường Hùng Vương, Phường Quán Toan, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Cẩm Phả,Trụ sở,Quảng Ninh,Thành phố Cẩm Phả,"Số 705 (thửa đất số 7, 8, 9 tờ bản đồ số 22), tổ 2, khu Tân Lập 6, Phường Cẩm Thủy, Thành phố Cẩm Phả, Quảng Ninh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Điện Biên,Trụ sở,Điện Biên,Thành phố Điện Biên Phủ,"Số nhà 930, đường Võ Nguyên Giáp, Tổ 3 - Phường Mường Thanh - TP Điện Biên Phủ - Điện Biên"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hà Nam,Trụ sở,Hà Nam,Thành phố Phủ Lý,"Một phần tầng 1 và 2 trung tâm thương mại, dịch vụ Đại Nam Plaza, đường Lê Hoàn, Phường Hai Bà Trưng, Hà Nam"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hà Nam,Phòng giao dịch Duy Tiên,Hà Nam,Thị xã Duy Tiên,"Thửa đất số 02 tờ bản đồ PL số 07, khu tập thể xí nghiệp Giống cây trồng Trung Ương, Phường Đồng Văn, Hà Nam"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hà Tĩnh,Trụ sở,Hà Tĩnh,Thành phố Hà Tĩnh,"Số 80, đường Phan Đình Phùng - Phường Nam Hà - Thành phố Hà Tĩnh - Hà Tĩnh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hà Tĩnh,Phòng giao dịch Trần Phú,Hà Tĩnh,Thành phố Hà Tĩnh,Số 207 đường Trần Phú - Phường Trần Phú - Thành phố Hà Tĩnh - Hà Tĩnh
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hà Tĩnh,Phòng giao dịch Hồng Lĩnh,Hà Tĩnh,Thị xã Hồng Lĩnh,Tổ dân phố 8 đường Trần Phú - Phường Bắc Hồng - Thị Xã Hồng Lĩnh - Hà Tĩnh
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hải Phòng,Trụ sở,Hải Phòng,Quận Ngô Quyền,"Số 06 Lô 30A Lê Hồng Phong, Phường Lạc Viên, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hải Phòng,Phòng giao dịch Vạn Mỹ,Hải Phòng,Quận Ngô Quyền,"Số 341 Đà Nẵng, Phường Vạn Mỹ, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hải Phòng,Phòng giao dịch Lê Hồng Phong,Hải Phòng,Huyện Vĩnh Bảo,"Số 136 Khu phố 3/2, Thị trấn Vĩnh Bảo, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hải Phòng,Phòng giao dịch Lạch Tray,Hải Phòng,Quận Ngô Quyền,"Số 02B Lạch Tray, Phường Lạch Tray, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Hải Phòng,Phòng giao dịch Hải An,Hải Phòng,Quận Ngô Quyền,"Số 206, 216 Văn Cao, Phường Đằng Giang, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Móng Cái,Trụ sở,Quảng Ninh,Thành phố Móng cái,"Số 02 Đường Hùng Vương, Phường Hòa Lạc, Thành phố Móng cái, Quảng Ninh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Định,Trụ sở,Nam Định,Thành phố Nam Định,"Một phần tầng 1, tầng 3 Tòa nhà đa năng, số 625 Trần Hưng Đạo - Phường Lộc Vượng - Thành phố Nam Định - Nam Định"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Định,Phòng giao dịch Ý Yên,Nam Định,Huyện Ý Yên,"Thửa đất số ô M58, mặt bằng QH chi tiết cụm CN Làng Nghề TMDV Phía nam - Thị Trấn Lâm - Huyện Ý Yên - Nam Định"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Định,Phòng giao dịch Thành Nam,Nam Định,Thành phố Nam Định,"Số 69, phố Lê Hồng Phong - Phường Nguyễn Du - Thành phố Nam Định - Nam Định"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Định,Phòng giao dịch Hải Hậu,Nam Định,Huyện Hải Hậu,Tổ dân phố số 1 - Thị Trấn Yên Định - Huyện Hải Hậu - Nam Định
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Hải Phòng,Trụ sở,Hải Phòng,Quận Lê Chân,"Tầng trệt (tầng 1), tầng 3 tòa nhà Tổng công ty xây dựng Bạch Đằng, số 268 đường Trần Nguyên Hãn, Phường Niệm Nghĩa, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Hải Phòng,Phòng giao dịch Võ Nguyên Giáp,Hải Phòng,Quận Lê Chân,"Tầng 1, tầng 2 Tòa nhà tại thửa đất số 512 lô HK17 Khu dự án đô thị Ven sông Lạch Tray, Phường Vĩnh Niệm, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Hải Phòng,Phòng giao dịch Lê Chân,Hải Phòng,Quận Lê Chân,"Số 146 Tôn Đức Thắng, Phường Lam Sơn, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nam Hải Phòng,Phòng giao dịch Kiến An,Hải Phòng,Quận Kiến An,"Số 01+02/NO 05 Khu đô thị và nhà ở Cựu Viên, Phường Bắc Sơn, Hải Phòng"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nghệ An,Trụ sở,Nghệ An,Thành phố Vinh,Số 02 - Đường Nguyễn Thị Minh Khai - Phường Hưng Bình - Thành phố Vinh - Nghệ An
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nghệ An,Phòng giao dịch Trung Đô,Nghệ An,Thành phố Vinh,Số 191 đường Lê Duẩn - Phường Trung Đô - Thành phố Vinh - Nghệ An
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nghệ An,Phòng giao dịch Hà Huy Tập,Nghệ An,Thành phố Vinh,Tòa nhà Viettel - Đại lộ Lenin - Phường Hà Huy Tập - Thành phố Vinh - Nghệ An
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nghệ An,Phòng giao dịch Diễn Châu,Nghệ An,Huyện Diễn Châu,Khối 3 - Thị Trấn Diễn Châu - Huyện Diễn Châu - Nghệ An
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Nghi Sơn,Trụ sở,Thanh Hoá,Thị xã Nghi Sơn,"Số nhà 100, đường Đào Duy Từ, tiểu khu 5, Phường Hải Hòa, Thị xã Nghi Sơn, Thanh Hoá"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Ninh Bình,Trụ sở,Ninh Bình,Thành phố Ninh Bình,Tầng 1 và tầng 3 tòa nhà số 848 đường Trần Hưng Đạo - Phường Tân Thành - Thành phố Ninh Bình - Ninh Bình
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Ninh Bình,Phòng giao dịch Tam Điệp,Ninh Bình,Thành phố Tam Điệp,Số 146 Đồng Giao - Phường Bắc Sơn - Thành phố Tam Điệp - Ninh Bình
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Ninh Bình,Phòng giao dịch Nguyễn Công Trứ,Ninh Bình,Thành phố Ninh Bình,Số 307 - 309 - 311 đường Nguyễn Công Trứ - Phường Bích Đào - Thành phố Ninh Bình - Ninh Bình
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Ninh Bình,Phòng giao dịch Gia Viễn,Ninh Bình,Huyện Gia Viễn,Đường Quốc lộ 1A - Xã Gia Trấn - Huyện Gia Viễn - Ninh Bình
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Quảng Ninh,Trụ sở,Quảng Ninh,Thành phố Hạ Long,"Số 156, đường Lê Thánh Tông,, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Quảng Ninh,Phòng giao dịch Vân Đồn,Quảng Ninh,Huyện Vân Đồn,"Số 404-406, Tổ 1, khu 7,, Thị trấn Cái Rồng, Huyện Vân Đồn, Quảng Ninh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Quảng Ninh,Phòng giao dịch Hạ Long,Quảng Ninh,Thành phố Hạ Long,"Số 328, tổ 1B, khu 6A,, Phường Hồng Hải, Thành phố Hạ Long, Quảng Ninh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Quảng Ninh,Phòng giao dịch Bãi Cháy,Quảng Ninh,Thành phố Hạ Long,"Số nhà 489, đường Hạ Long, tổ 8, khu 9A,, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Thái Bình,Trụ sở,Thái Bình,Thành phố Thái Bình,"Tầng 1 (tầng trệt) tòa nhà Viettel Thái Bình, Phường Trần Hưng Đạo, Thành phố Thái Bình, Thái Bình"
Khu vực Miền Bắc,Đông Bắc Bộ,CN. Thái Bình,Phòng giao dịch Thái Thụy,Thái Bình,Huyện Thái Thụy,"Tổ dân phố số 6, Thị trấn Diêm Điền, Huyện Thái Thụy, Thái Bình"
