ID,Assignee,Documents Topic,Document Content
29,Kiệt,CƠ CẤU QUẢN TRỊ TẬP ĐOÀN,"1. Đại Hội Đồng Cổ Đông

2. Hội Đồng Quản Trị

Ban Kiểm Soát
Văn Phòng HĐQT
Khối Đầu Tư
3. Ủy Ban Quản Trị Cấp Cao

Ủy Ban Nhân Sự
Ủy Ban Quản Lý Rủi Ro
Ủy Ban Công Nghệ & Chuyển Đổi Số
4. Tổng Giám Đốc

Hội Đồng ALCO
Hội Đồng Rủi Ro
Hội Đồng Quản Trị Vốn
5. Công Ty Thành Viên

6. Khối Dự Án

Khối Khách Hàng Lớn
Khối Khách Hàng Vừa Và Nhỏ
Khối Tài Chính Kế Toán
Khối Nguồn Vốn Và Kinh Doanh Nguồn Vốn
Khối Ngân Hàng Số
7. Khối Hành Chính

Khối Tổ Chức Nhân Sự
Văn Phòng CEO
8. Ban Kế Hoạch Và Marketing

Khối Vận Hành
Khối Pháp Chế Và Tuân Thủ
Khối Quản Lý Rủi Ro
Khối Thẩm Định
Khối Mạng Lưới Và Quản Lý Chất Lượng
Trung Tâm Phê Duyệt Tín Dụng
9. Chi Nhánh/Phòng Giao Dịch/ Văn Phòng Đại Diện Ở Nước Ngoài"
30,Kiệt,Thành viên Hội đồng Quản trị,"Thành viên Hội đồng Quản trị

Hội đồng Quản trị là cơ quan quản lý của MB, được ĐHĐCĐ bầu ra; chịu trách nhiệm trước ĐHĐCĐ trong việc thực hiện nhiệm vụ, quyền hạn được giao. Hội đồng Quản trị thực hiện nhiệm vụ giám sát, quản lý Ngân hàng phù hợp quy định tại Điều lệ, Quy chế Quản trị và các quy định nội bộ liên quan của MB, quy định pháp luật, thông lệ quản trị tiên tiến phù hợp tại MB. Hội đồng Quản trị quyết định các vấn đề, trừ những vấn đề thuộc thẩm quyền ĐHĐCĐ, BKS, TGĐ.

Thay đổi của HĐQT trong năm 2023

Theo nguyện vọng cá nhân, Ông Lê Hữu Đức đã xin từ nhiệm vị trí Chủ tịch HĐQT và thôi là Thành viên HĐQT MB tại thời điểm 12/04/2023.
HĐQT bầu Ông Lưu Trung Thái giữ vị trí Chủ tịch HĐQT MB từ 12/04/2023 và trong thời gian còn lại của nhiệm kỳ 2019 - 2024.
Hội đồng Quản trị nhiệm kỳ 2019 - 2024 gồm 10 thành viên: bao gồm: 01 Chủ tịch, 02 Phó Chủ tịch, 06 Thành viên HĐQT và 01 Thành viên HĐQT độc lập."
31,Kiệt,Ông LƯU TRUNG THÁI - Chủ tịch Hội đồng Quản trị,"Ông LƯU TRUNG THÁI
Chủ tịch Hội đồng Quản trị

Năm sinh: 1975
Ngày bổ nhiệm: 12/04/2023
Tỷ lệ sở hữu: 0,0106%
Số lượng cổ phiếu: 5.211.908
Trình độ học vấn/chuyên môn:

Thạc sỹ Quản trị Kinh doanh - Đại học Hawaii (Hoa Kỳ)
Cử nhân Tài chính Tín dụng - Học viện Ngân hàng
Cử nhân Luật - Đại học Luật Hà Nội
Kinh nghiệm:
Ông Thái đã có gần 29 năm gắn bó với MB và nhiều năm liền nắm giữ các vị trí quan trọng của MB như Phụ trách Trung tâm Hệ Số, Giám đốc Chi nhánh, Giám đốc Khối, Phó TGĐ. Từ năm 2011 đến 04/2014, ông được giao trọng trách Chủ tịch HĐQT kiêm TGĐ Công ty Cổ phần Chứng khoán MB (MBS) và đã thể hiện được khả năng phát triển tài năng trẻ của MB qua nhiều vị trí khác nhau. Ông Thái đã tham gia HĐQT MB từ năm 2013 và đảm nhiệm bốn chức vụ lớn gồm Chủ tịch HĐQT từ 2019 - 2024, Phó Chủ tịch HĐQT từ 2013 và Tổng Giám đốc từ 2014."
32,Kiệt,"Bà VŨ THỊ HẢI PHƯỢNG
Phó Chủ tịch Hội đồng Quản trị","Bà VŨ THỊ HẢI PHƯỢNG
Phó Chủ tịch Hội đồng Quản trị

Năm sinh: 1970
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0567%
Số lượng cổ phiếu: 2.741.997
Trình độ học vấn/chuyên môn:

Thạc sỹ Kinh tế - Học viện Ngân hàng
Cử nhân Tài chính - Tín dụng - Học viện Ngân hàng
Kinh nghiệm:
Bà Phượng đã gắn bó và đồng hành cùng MB với nhiều vị trí khác nhau, hiện tại là Chủ tịch HĐQT MB từ năm 2019 - 2024. Bà Phượng đã có nhiều đóng góp quan trọng cho MB qua các vị trí như Phó TGĐ (quản lý khách hàng lớn và khách hàng VIP), Giám đốc Chi nhánh, Giám đốc Khối Mạng lưới và Khối Pháp chế. Bà Phượng hiện cũng là Chủ tịch HĐQT Công ty Cổ phần MB Shinsei (Mcredit)."
33,Kiệt,"Ông ĐỖ MINH PHƯƠNG
Phó Chủ tịch Hội đồng Quản trị","Ông ĐỖ MINH PHƯƠNG
Phó Chủ tịch Hội đồng Quản trị

Năm sinh: 1969
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0014%
Số lượng cổ phiếu: 74.538
Trình độ học vấn/chuyên môn:

Thạc sỹ chuyên ngành Quản trị An ninh phi truyền thống - Đại học Quốc Gia Hà Nội
Cử nhân Điện tử - Viễn thông - Đại học Bách Khoa Hà Nội
Kinh nghiệm:
Ông Phương hiện giữ vị trí quan trọng tại Tập đoàn Công nghiệp - Viễn thông Quân đội (Viettel) và đã có kinh nghiệm quản lý và phát triển công nghệ thông tin tại nhiều doanh nghiệp. Ông Phương tham gia HĐQT MB từ năm 2019 - 2024 và là thành viên độc lập của HĐQT MB."
34,Kiệt,"Ông LÊ VIẾT HẢI
Thành viên Hội đồng Quản trị","Ông LÊ VIẾT HẢI
Thành viên Hội đồng Quản trị

Năm sinh: 1975
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0137%
Số lượng cổ phiếu: 736.747
Trình độ học vấn/chuyên môn:

Thạc sỹ Quản trị Kinh doanh - Đại học California Miramar (Hoa Kỳ)
Cử nhân Tài chính - Tín dụng - Học viện Ngân hàng
Cử nhân Luật - Đại học Luật Hà Nội
Kinh nghiệm:
Gắn bó và cống hiến hơn 29 năm và trải qua nhiều vị trí lãnh đạo quan trọng khác nhau tại MB, ông Hải hiện đang đảm nhiệm chức vụ Chủ tịch HĐQT Công ty Cổ phần Chứng khoán MB (MBS)."
35,Kiệt,"Ông KIỀU ĐẶNG HÙNG
Thành viên Hội đồng Quản trị","Ông KIỀU ĐẶNG HÙNG
Thành viên Hội đồng Quản trị

Năm sinh: 1972
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0041%
Số lượng cổ phiếu: 216.221
Trình độ học vấn/chuyên môn:

Cử nhân Quản trị kinh doanh - Đại học Mở Thành Phố Hồ Chí Minh
Sỹ quan lái máy bay trực thăng - Học viện Không quân
Kinh nghiệm:
Gia nhập Công ty Bay dịch vụ Việt Nam từ năm 1996 và đã trải qua các vị trí Trưởng phòng đảm bảo chất lượng an toàn bay, Giám đốc Chi nhánh Miền Bắc Công ty Trực thăng Miền Nam. Thành viên HĐQT Công ty Dịch vụ bay Miền Bắc từ năm 2004. Từ năm 2007 đến nay, Ông Hùng đảm nhiệm vị trí Tổng Giám đốc Công ty Trực thăng Việt Nam. Ông Hùng được ĐHĐCĐ thường niên 2019 bầu làm Thành viên HĐQT nhiệm kỳ 2019 - 2024."
36,Kiệt,"Ông NGÔ MINH THUẤN
Thành viên Hội đồng Quản trị","Ông NGÔ MINH THUẤN
Thành viên Hội đồng Quản trị

Năm sinh: 1971
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0041%
Số lượng cổ phiếu: 216.241
Trình độ học vấn/chuyên môn:

Thạc sỹ Kinh tế vận tải - Đại học Hàng hải Việt Nam
Kỹ sư Kinh tế vận tải - Đại học Hàng hải Việt Nam
Kinh nghiệm:
Gia nhập Tổng Công ty Tân Cảng Sài Gòn từ năm 1994 và giữ chức vụ Phó TGĐ Tổng Công ty Tân Cảng Sài Gòn từ năm 2009. Hiện, ông là Giám đốc Công ty Tân Cảng Sài Gòn. Ông Thuấn được ĐHĐCĐ thường niên 2019 MB tín nhiệm bầu làm Thành viên HĐQT nhiệm kỳ 2019 - 2024."
37,Kiệt,"Bà NGUYỄN THỊ THỦY Bà NGUYỄN THỊ NGỌC
Bà VŨ THÁI HUYỀN
Thành viên Hội đồng Quản trị

","Bà NGUYỄN THỊ THỦY
Thành viên Hội đồng Quản trị

Năm sinh: 1974
Ngày bổ nhiệm: 23/04/2014
Tỷ lệ sở hữu: 0,0352%
Số lượng cổ phiếu: 1.837.902
Trình độ học vấn/chuyên môn:

Thạc sỹ Quản trị kinh doanh - Đại học Khoa học Ứng dụng Tây Bắc (Thụy Sỹ)
Cử nhân Tài chính - Tín dụng - Học viện Ngân hàng
Kinh nghiệm:
Bà Thủy đã có hơn nhiều năm gắn bó và làm việc tại MB, đảm nhiệm nhiều vị trí quan trọng như thành viên Ban Thông tin và điều hành Thông báo MB, giám đốc Chi nhánh MB, phó TGĐ và Trưởng Khối Bán lẻ MB. Bà Thủy được ĐHĐCĐ thường niên 2014 tín nhiệm bầu làm thành viên HĐQT. Bà Thủy hiện đang đảm nhiệm vai trò Chủ tịch Hội đồng Thành viên của Công ty TNHH Bảo hiểm Nhân thọ Ageas (MB Ageas Life) và là Thành viên HĐQT Công ty Cổ phần Bảo hiểm Quân đội (MIC).

Bà NGUYỄN THỊ NGỌC
Thành viên Hội đồng Quản trị

Năm sinh: 1976
Ngày bổ nhiệm: 23/04/2014
Tỷ lệ sở hữu: 0,0414%
Số lượng cổ phiếu: 750.571
Trình độ học vấn/chuyên môn:

Thạc sỹ Quản trị Kinh doanh - Đại học California Miramar (Hoa Kỳ)
Cử nhân Luật - Đại học Luật Hà Nội
Cử nhân Quản trị Kinh doanh - Đại học Kinh tế Quốc dân
Kinh nghiệm:
Bà Ngọc đã nhiều năm công tác tại MB từ quản lý dự án đầu tư, kế hoạch chiến lược cho đến vị trí Phó chủ tịch HĐQT từ khi thành lập năm 2014. Bà Ngọc hiện cũng là Thành viên HĐQT Công ty Quản lý Quỹ MB (MB Capital) và giữ vị trí Phó Chủ tịch Công đoàn MB.
Bà VŨ THÁI HUYỀN
Thành viên Hội đồng Quản trị

Năm sinh: 1976
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0021%
Số lượng cổ phiếu: 108.110
Trình độ học vấn/chuyên môn:

Cử nhân Kế toán - Đại học Kinh tế quốc dân
Chứng chỉ Kế toán trưởng - Bộ Tài chính
Kinh nghiệm:
Bà Huyền đã có nhiều kinh nghiệm trong lĩnh vực tài chính, đầu tư và kế toán. Hiện, bà là Giám đốc Ban Đầu tư (04/2021), Viện trưởng Ban Đầu tư - Tài chính của Tổng công ty Đầu tư và Kinh doanh Vốn Nhà nước (SCIC) đến 12/2021. Bà là thành viên độc lập của SCIC tại MB từ 01/2022."
38,Kiệt,"Ông TRẦN TRUNG TÍN
Thành viên Hội đồng Quản trị độc lập","Ông TRẦN TRUNG TÍN
Thành viên Hội đồng Quản trị độc lập

Năm sinh: 1956
Ngày bổ nhiệm: 27/04/2019
Tỷ lệ sở hữu: 0,0174%
Số lượng cổ phiếu: 594.614
Trình độ học vấn/chuyên môn:

Tiến sỹ Quản lý Kinh tế - Học viện Chính trị Quốc gia Hồ Chí Minh
Cử nhân Bảo vệ - Trường Đại học Tổng hợp Hà Nội
Cử nhân Báo chí - Học viện Chính trị Quốc gia Hồ Chí Minh
Cử nhân Tiếng Anh - Đại học Sư phạm Ngoại ngữ Hà Nội
Kinh nghiệm:
Ông Tín đã có nhiều năm công tác trong ngành Ngân hàng và giáo dục. Ông là thành viên HĐQT độc lập của MB từ 2019."
39,Kiệt,Hoạt động của Ban Lãnh đạo MB: Ma trận kỹ năng đối với các thành viên Hội đồng Quản trị (tính đến thời điểm 31/12/2023),"Ma trận kỹ năng đối với các thành viên Hội đồng Quản trị (tính đến thời điểm 31/12/2023)

Ma trận năng lực của Hội đồng Quản trị dựa trên kinh nghiệm, quá trình công tác thực tế, các chứng chỉ đào tạo Thành viên Hội đồng Quản trị và các chương trình nâng cao trong năm nhằm đảm bảo hoạt động hiệu quả của một Hội đồng Quản trị có đủ năng lực và chuyên nghiệp.

Chức vụ và Kinh nghiệm chuyên môn:

Chủ tịch Hội đồng Quản trị

Kinh nghiệm chuyên môn: Đất đai, Phát triển Kế hoạch, Quản lý rủi ro, Tài chính, Kế toán
Kinh nghiệm Kinh doanh: Phát triển bất động sản, Kế hoạch chiến lược, Quản lý rủi ro, Tài chính
Phó Chủ tịch Hội đồng Quản trị

Kinh nghiệm chuyên môn: Tài chính, Kế toán, Tài chính Tín dụng, Ngân hàng
Kinh nghiệm Kinh doanh: Phát triển Bất động sản, Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro, Tài chính
Phó Chủ tịch Hội đồng Quản trị

Kinh nghiệm chuyên môn: Quản trị nhân sự, Kế toán, Tài chính
Kinh nghiệm Kinh doanh: Phát triển Bất động sản, Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro, Tài chính
Thành viên Hội đồng Quản trị độc lập

Kinh nghiệm chuyên môn: Tài chính, Kế toán, Quản lý rủi ro, Tài chính
Kinh nghiệm Kinh doanh: Quản lý rủi ro, Tài chính, Kế toán
Thành viên Hội đồng Quản trị

Kinh nghiệm chuyên môn: Tài chính, Kế toán, Kế toán kiểm toán, Tài chính
Kinh nghiệm Kinh doanh: Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro
Thành viên Hội đồng Quản trị

Kinh nghiệm chuyên môn: Tài chính, Kế toán, Ngân hàng
Kinh nghiệm Kinh doanh: Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro
Thành viên Hội đồng Quản trị

Kinh nghiệm chuyên môn: Kế toán, Tài chính, Kế toán kiểm toán, Tài chính
Kinh nghiệm Kinh doanh: Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro
Thành viên Hội đồng Quản trị

Kinh nghiệm chuyên môn: Kế toán, Tài chính, Quản lý rủi ro, Tài chính
Kinh nghiệm Kinh doanh: Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro
Thành viên Hội đồng Quản trị

Kinh nghiệm chuyên môn: Tài chính, Kế toán, Ngân hàng
Kinh nghiệm Kinh doanh: Kế toán, Tài chính, Ngân hàng, Quản lý rủi ro
Ban Lãnh đạo MB trong kỳ đã tham dự một số khóa đào tạo chuyên sâu liên quan đến hoạt động quản trị nhằm đảm bảo các đối tượng được tuân thủ các quy chế hoạt động, Hệ thống Ngân hàng, Tập đoàn Công nghiệp và các quy chế pháp luật có hiệu lực tại thời điểm hiện hành, đáp ứng yêu cầu ngày càng cao của thị trường.

Quản trị:

Thành viên Hội đồng Quản trị, Ban Kiểm soát và Người đại diện vốn tại các Công ty thành viên của MB đã tham gia các khóa đào tạo chuyên sâu liên quan đến Quản trị Công ty tại các cơ sở uy tín như các học viện Học viện Quản trị Quốc tế (Institute of Directors), Học viện Quản trị Công ty Malaysia, Cục Cạnh tranh và Bảo vệ Người tiêu dùng.
Chuyển đổi số:

Tham gia các lớp đào tạo về Cách mạng Công nghiệp 4.0 và các lĩnh vực chuyên sâu như chuyển đổi số, công nghệ Blockchain, AI tại các Học viện Quản trị Công ty.
Phát triển bền vững:

Tham gia các khóa học chuyên sâu về phát triển bền vững và ứng phó với biến đổi khí hậu tại các cơ sở uy tín.
Các chủ đề khác:

Tham gia các khóa đào tạo chuyên sâu về quản trị rủi ro, tài chính, kế toán và công nghệ thông tin tại các học viện và cơ sở uy tín.
Diễn đàn cao cấp thường niên về Công nghiệp 4.0:

Chuyển đổi số và chuyển đổi Xanh người đứng đầu.
Tăng cường phòng thủ và kỹ thuật số trong bối cảnh rủi ro gia tăng.
Phát triển bền vững:

Diễn đàn thường niên lần thứ 6 về ""Khai nguồn tài chính xanh và quản trị xanh"".
Các chủ đề khác:

""Hoàn thiện hệ thống tiêu chí xếp hạng các tổ chức tín dụng theo mô hình xanh"".
Bảng thông tin và hình ảnh:

Diễn đàn thường niên lần thứ 6 về Khai nguồn tài chính xanh và quản trị xanh."
40,Kiệt,Thành viên các Ủy ban thuộc Hội đồng Quản trị,"Thành viên các Ủy ban thuộc Hội đồng Quản trị

ỦY BAN QUẢN TRỊ CẤP CAO

Chủ nhiệm Ủy ban (từ 08/06/2023):
Ông Lưu Trung Thái
Chủ tịch Hội đồng Quản trị
Thành viên Ủy ban:
Bà Vũ Thị Hải Phượng
Phó Chủ tịch Hội đồng Quản trị
Ông Đỗ Minh Phương
Phó Chủ tịch Hội đồng Quản trị
Bà Nguyễn Thị Thủy
Thành viên Hội đồng Quản trị
Bà Nguyễn Thị Ngọc
Thành viên Hội đồng Quản trị
Ông Lê Viết Hải
Thành viên Hội đồng Quản trị
Bà Vũ Thái Huyền
Thành viên Hội đồng Quản trị
Ông Trần Minh Đức
Thành viên Hội đồng Quản trị độc lập
Bà Lê Thị Lợi
Trưởng ban Kiểm soát
Ông Phạm Nhật Anh
Tổng Giám đốc
ỦY BAN NHÂN SỰ

Chủ nhiệm Ủy ban (từ 08/06/2023):
Ông Lưu Trung Thái
Chủ tịch Hội đồng Quản trị
Thành viên Ủy ban:
Bà Vũ Thị Hải Phượng
Phó Chủ tịch Hội đồng Quản trị
Ông Đỗ Minh Phương
Phó Chủ tịch Hội đồng Quản trị
Bà Nguyễn Thị Thủy
Thành viên Hội đồng Quản trị
Bà Nguyễn Thị Ngọc
Thành viên Hội đồng Quản trị
Ông Lê Viết Hải
Thành viên Hội đồng Quản trị
Bà Vũ Thái Huyền
Thành viên Hội đồng Quản trị
Ông Phạm Nhật Anh
Tổng Giám đốc
Ông Trần Minh Đức
Thành viên Hội đồng Quản trị độc lập
Bà Lê Thị Lợi
Trưởng ban Kiểm soát
Ông Phạm Nhật Anh
Tổng Giám đốc
ỦY BAN QUẢN LÝ RỦI RO

Chủ nhiệm Ủy ban:
Bà Vũ Thị Hải Phượng
Phó Chủ tịch Hội đồng Quản trị
Thành viên Ủy ban:
Bà Nguyễn Thị Thủy
Thành viên Hội đồng Quản trị
Bà Nguyễn Thị Ngọc
Thành viên Hội đồng Quản trị
Ông Lê Viết Hải
Thành viên Hội đồng Quản trị
Bà Vũ Thái Huyền
Thành viên Hội đồng Quản trị
Ông Trần Trung Tín
Thành viên Hội đồng Quản trị độc lập
Ông Phạm Nhật Anh
Tổng Giám đốc
Bà Phạm Thị Trung Hà
Phó Tổng Giám đốc
Bà Lê Thị Lợi
Trưởng ban Kiểm soát
ỦY BAN CÔNG NGHỆ VÀ CHUYỂN ĐỔI SỐ

Chủ nhiệm Ủy ban:
Ông Lưu Trung Thái
Chủ tịch Hội đồng Quản trị
Thành viên Ủy ban:
Bà Vũ Thị Hải Phượng
Phó Chủ tịch Hội đồng Quản trị
Ông Đỗ Minh Phương
Phó Chủ tịch Hội đồng Quản trị
Ông Nguyễn Như Anh
Tổng Giám đốc
Ông Phạm Nhật Anh
Tổng Giám đốc
Ông Võ Thành Trung
Thành viên Ban Điều hành
Ông Vũ Thành Trung
Thành viên Ban Điều hành
Bà Phạm Thị Quỳnh Liên
Giám đốc Khối Dịch vụ Khách hàng Doanh nghiệp
Bà Lê Thị Lợi
Trưởng ban Kiểm soát"
41,Kiệt,Thành viên Ban Kiểm soát,"Thành viên Ban Kiểm soát

Bà LÊ THỊ LỢI

Trưởng Ban Kiểm soát
Năm sinh: 1970
Ngày bổ nhiệm: 27/04/2019
Trình độ học vấn/chuyên môn:

Cử nhân Kinh tế - Đại học Tài chính Kế toán Hà Nội
Thạc sỹ Kinh tế - Học viện Ngân hàng
Tiến sỹ Kinh tế - Học viện Tài Chính
Kinh nghiệm:
Gia nhập MB từ những ngày đầu thành lập và có nhiều đóng góp cho các mặt hoạt động của MB. Bà từng giữ các vị trí quan trọng: Trưởng Phòng Kế toán/Phó Giám đốc Chi nhánh MB Điện Biên Phủ, Giám đốc Tài chính MB và là Phó TGĐ kiêm Giám đốc Tài chính MB từ năm 2014 đến tháng 4/2019. Bà Lợi được ĐHĐCĐ thường niên 2019 tín nhiệm bầu làm Thành viên Ban Kiểm soát MB và được bầu làm Trưởng ban.

Ông ĐỖ VĂN HÙNG

Thành viên Ban Kiểm soát
Năm sinh: 1960
Ngày bổ nhiệm: 29/03/2018
Trình độ học vấn/chuyên môn:

Cử nhân ngành Ngân hàng - Tài chính - Đại học Kinh tế Quốc dân
Cử nhân Anh Văn - Đại học Ngoại ngữ Hà Nội
Cao cấp lý luận Chính trị - Học viện Chính trị Hành chính Quốc gia Hồ Chí Minh
Kinh nghiệm:
Gia nhập MB từ năm 1999 và nhiều năm liền giữ các vị trí quan trọng của MB như Trưởng Phòng Thanh toán quốc tế, Trưởng Khối Tổ chức - Nhân sự - Hành chính, Phó TGĐ phụ trách MB khu vực phía Bắc, Bí thư Đảng ủy MB. Ông Hùng được ĐHĐCĐ thường niên 2018 tín nhiệm bầu làm Thành viên BKS MB.

Bà NGUYỄN THỊ AN BÌNH

Phó Trưởng Ban Kiểm soát
Năm sinh: 1972
Ngày bổ nhiệm: 27/04/2019
Trình độ học vấn/chuyên môn:

Cử nhân Kinh tế - Đại học Kinh tế Quốc dân
Thạc sỹ Kinh tế - Đại học Kinh tế Quốc dân
Tiến sỹ Kinh tế - Chuyên ngành Tài chính Ngân hàng - Đại học Kinh tế Quốc dân
Kinh nghiệm:
29 năm kinh nghiệm trong lĩnh vực ngân hàng và gắn bó với MB ngay từ ngày đầu thành lập. Bà Bình đảm nhiệm vị trí Phó TGĐ MB từ năm 2011 (từ năm 2009) và có nhiều kinh nghiệm, lãnh đạo các mảng nghiệp vụ quan trọng của MB như Kiểm tra kiểm soát nội bộ, Pháp chế và Quy chế. Bà Bình được tín nhiệm bầu làm Thành viên BKS MB và được bầu làm Phó trưởng ban.

Bà ĐỖ THỊ TUYẾT MAI

Thành viên Ban Kiểm soát
Năm sinh: 1976
Ngày bổ nhiệm: 27/04/2019
Trình độ học vấn/chuyên môn:

Thạc sỹ Quản trị kinh doanh - Đại học Benedictine (Hoa Kỳ)
Cử nhân Kinh tế - Học viện Ngân hàng
Chứng chỉ CPA Australia - CPA Australia"
